archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2003,1833,20,0,26031,0,2
Regular,20,3291,3433,16,4,47979,1,7
Hardcore,20,5193,5336,6,14,94469,0,0
Hoarder,20,3448,3499,18,2,47626,0,0
"Early Locker",20,2710,2358,20,0,35229,0,1
"Late Deployer",20,2964,2976,11,9,48529,1,1
Boost-Focused,20,4877,4885,5,15,89925,0,2
Star-Focused,20,3694,3822,18,2,50776,0,2
"Aggressive Sigil User",20,4559,4458,11,9,73815,0,1
"Mostly Idle",20,2075,2314,20,0,26969,0,0
