archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2080,2087,7,3,16108,0,0
Regular,10,3525,3748,8,2,25720,0,1
Hardcore,10,5800,5816,0,10,58604,0,0
Hoarder,10,3699,3918,9,1,25645,0,1
"Early Locker",10,3499,3545,10,0,22741,0,1
"Late Deployer",10,3192,3211,4,6,27770,0,0
Boost-Focused,10,5251,5361,2,8,49580,0,0
Star-Focused,10,4260,4246,9,1,29295,0,1
"Aggressive Sigil User",10,5022,4787,6,4,39561,0,2
"Mostly Idle",10,2200,1903,10,0,14298,0,0
