archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2112,2053,16,4,30527,0,2
Regular,20,3046,2845,18,2,42205,1,3
Hardcore,20,4982,5063,3,17,95891,1,0
Hoarder,20,3261,3315,18,2,45145,0,1
"Early Locker",20,2930,2890,20,0,38088,0,0
"Late Deployer",20,2913,2910,11,9,47436,1,0
Boost-Focused,20,5006,4701,7,13,87261,0,2
Star-Focused,20,3949,3830,18,2,53873,0,1
"Aggressive Sigil User",20,4391,4232,11,9,71076,1,3
"Mostly Idle",20,1901,1745,20,0,24709,0,0
