archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2100,1970,18,2,28869,0,1
Regular,20,3180,3382,17,3,45086,0,4
Hardcore,20,5139,5130,2,18,100071,0,0
Hoarder,20,3005,2976,19,1,40500,0,1
"Early Locker",20,3330,3155,20,0,43292,0,1
"Late Deployer",20,2845,2827,7,13,50772,1,0
Boost-Focused,20,4652,4682,9,11,78802,0,3
Star-Focused,20,3847,3800,18,2,52726,0,3
"Aggressive Sigil User",20,4358,4371,12,8,69361,0,0
"Mostly Idle",20,2032,1968,20,0,26408,0,0
