archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2172,2163,8,2,15792,0,0
Regular,10,3557,3653,7,3,27205,0,3
Hardcore,10,5463,5434,1,9,53162,1,0
Hoarder,10,3457,3159,9,1,23880,0,2
"Early Locker",10,3130,3258,10,0,20343,0,1
"Late Deployer",10,3081,3084,6,4,24692,0,0
Boost-Focused,10,4975,4872,4,6,43022,0,3
Star-Focused,10,4265,4039,10,0,27719,0,2
"Aggressive Sigil User",10,4386,4550,4,6,38563,0,1
"Mostly Idle",10,1754,1759,10,0,11397,0,0
