archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2667,3003,5,0,8666,0,0
Regular,5,4002,4080,3,2,15918,0,2
Hardcore,5,5996,5986,0,5,30460,0,0
Hoarder,5,3840,4453,2,3,17487,0,0
"Early Locker",5,3556,3830,5,0,11558,0,0
"Late Deployer",5,3442,3650,4,1,12519,0,0
Boost-Focused,5,5627,5640,1,4,26390,0,1
Star-Focused,5,4292,4456,5,0,13946,0,1
"Aggressive Sigil User",5,4863,5021,2,3,21275,0,0
"Mostly Idle",5,1932,1825,5,0,6277,0,0
