archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2246,1760,10,0,14596,0,1
Regular,10,3263,3367,10,0,21207,0,3
Hardcore,10,5222,5227,0,10,52981,1,0
Hoarder,10,3363,3136,6,4,27451,1,0
"Early Locker",10,3248,3079,10,0,21111,0,0
"Late Deployer",10,3072,2885,4,6,26310,0,0
Boost-Focused,10,4838,4899,2,8,45348,0,2
Star-Focused,10,4308,4152,10,0,27998,1,1
"Aggressive Sigil User",10,4225,4324,5,5,35579,0,0
"Mostly Idle",10,1676,1513,10,0,10891,0,0
