archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2792,3133,4,1,9972,0,0
Regular,5,4061,4257,5,0,13197,0,0
Hardcore,5,5854,5873,0,5,29652,1,0
Hoarder,5,4493,4411,5,0,14602,0,1
"Early Locker",5,3585,3022,5,0,11651,0,0
"Late Deployer",5,3211,3166,1,4,15165,0,0
Boost-Focused,5,5630,5626,1,4,26368,0,1
Star-Focused,5,4725,4704,5,0,15357,0,0
"Aggressive Sigil User",5,4945,4853,2,3,21525,0,0
"Mostly Idle",5,2335,2344,5,0,7589,0,0
