archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2550,2735,5,0,8285,0,0
Regular,5,4129,4220,4,1,14946,0,0
Hardcore,5,6224,6224,0,5,31603,0,0
Hoarder,5,3584,3265,4,1,13306,0,0
"Early Locker",5,4652,4625,5,0,15118,0,1
"Late Deployer",5,3382,3455,0,5,17192,0,0
Boost-Focused,5,5606,5589,2,3,24353,0,1
Star-Focused,5,4415,4594,5,0,14348,0,1
"Aggressive Sigil User",5,5135,5133,1,4,24154,0,1
"Mostly Idle",5,1901,1574,5,0,6176,0,0
