archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,6220,6220,1,0,4043,0,0
Regular,1,11269,11269,1,0,7324,0,0
Star-Focused,1,26719,26719,1,0,17367,3,1
