archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1074,1323,3,0,2092,0,0
Regular,3,526,390,2,1,1132,0,0
Hardcore,3,384,417,2,1,888,0,0
Hoarder,3,3386,2167,3,0,6603,0,0
"Early Locker",3,998,484,3,0,1945,0,0
"Late Deployer",3,940,1049,2,1,1929,0,0
Boost-Focused,3,314,216,1,2,872,0,0
Star-Focused,3,2196,2867,3,0,4282,0,0
"Aggressive Sigil User",3,1491,1157,3,0,2906,0,0
"Mostly Idle",3,1466,1607,3,0,2858,0,0
