archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,3,1373,1764,3,0,2677,0,0
Regular,3,3958,2339,3,0,7718,0,0
Hardcore,3,1703,1227,3,0,3319,0,0
Hoarder,3,5401,3058,3,0,10531,0,0
"Early Locker",3,1488,1154,3,0,2902,0,0
"Late Deployer",3,850,365,2,1,1758,0,0
Boost-Focused,3,1176,224,1,2,2558,0,0
Star-Focused,3,2809,2356,3,0,5477,0,0
"Aggressive Sigil User",3,1226,1191,3,0,2390,0,1
"Mostly Idle",3,2217,1556,3,0,4322,0,0
