archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2978,3265,5,0,9677,0,0
Regular,5,5665,5554,3,2,22292,1,1
Hardcore,5,7624,7628,0,5,38601,0,0
Hoarder,5,3450,3112,5,0,11210,0,0
"Early Locker",5,4574,4162,5,0,14865,0,1
"Late Deployer",5,4426,4474,1,4,20752,0,0
Boost-Focused,5,7330,7363,1,4,34298,2,1
Star-Focused,5,5064,5385,5,0,16458,0,3
"Aggressive Sigil User",5,6645,6651,1,4,31122,0,1
"Mostly Idle",5,2507,2802,5,0,8145,0,0
