archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2454,2767,4,1,9000,0,0
Regular,5,4500,4414,5,0,14624,0,4
Hardcore,5,6950,6689,1,4,32241,0,0
Hoarder,5,4492,4669,5,0,14598,0,2
"Early Locker",5,3824,3711,5,0,12429,0,0
"Late Deployer",5,3510,3593,1,4,16739,0,0
Boost-Focused,5,6309,6346,2,3,27257,0,2
Star-Focused,5,4574,4644,2,3,19923,0,0
"Aggressive Sigil User",5,5494,5552,2,3,24074,0,0
"Mostly Idle",5,2128,2113,5,0,6915,0,0
