archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2745,2616,19,1,36619,0,1
Regular,20,3696,3872,14,6,56985,0,2
Hardcore,20,5923,6164,5,15,110148,1,0
Hoarder,20,3595,3301,20,0,46727,0,1
"Early Locker",20,3581,3852,20,0,46549,0,0
"Late Deployer",20,3645,3442,8,12,62411,2,0
Boost-Focused,20,5815,5873,3,17,111357,1,2
Star-Focused,20,4421,4367,18,2,60601,0,2
"Aggressive Sigil User",20,5064,5155,4,16,95961,2,1
"Mostly Idle",20,2740,2534,20,0,35613,0,0
