archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2677,2593,10,0,17399,1,1
Regular,10,4347,4642,6,4,34981,0,2
Hardcore,10,6958,6964,1,9,67686,1,0
Hoarder,10,3514,3417,9,1,24504,0,1
"Early Locker",10,3700,3823,10,0,24049,0,0
"Late Deployer",10,3954,3867,2,8,37186,1,0
Boost-Focused,10,6812,6662,2,8,63330,0,0
Star-Focused,10,4407,4058,9,1,30372,0,0
"Aggressive Sigil User",10,5801,5708,4,6,50596,0,1
"Mostly Idle",10,2698,2526,10,0,17533,0,0
