archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2642,2832,4,1,9634,0,0
Regular,5,3796,3873,4,1,13890,0,0
Hardcore,5,6316,6317,0,5,31902,1,0
Hoarder,5,4773,4583,3,2,18802,0,2
"Early Locker",5,3979,3192,5,0,12931,0,0
"Late Deployer",5,3635,3491,1,4,16980,0,0
Boost-Focused,5,6124,6333,2,3,26716,0,1
Star-Focused,5,4956,4989,5,0,16107,0,1
"Aggressive Sigil User",5,5263,5414,2,3,22900,0,0
"Mostly Idle",5,2879,2872,5,0,9355,0,0
