archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2779,2651,9,1,19046,0,1
Regular,10,4107,4179,10,0,26693,0,6
Hardcore,10,6663,6415,3,7,59350,1,0
Hoarder,10,3557,3578,6,4,29257,1,0
"Early Locker",10,3946,3456,10,0,25649,0,0
"Late Deployer",10,4380,3411,3,7,37256,0,0
Boost-Focused,10,6057,6057,7,3,45835,0,1
Star-Focused,10,4753,4857,9,1,32514,0,0
"Aggressive Sigil User",10,4981,5214,6,4,39889,0,0
"Mostly Idle",10,2143,1832,10,0,13929,0,0
