archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2779,2886,3,2,11208,0,0
Regular,5,4219,4341,4,1,15312,0,2
Hardcore,5,6967,7008,0,5,35276,0,0
Hoarder,5,4611,4703,2,3,20060,0,0
"Early Locker",5,4046,4585,5,0,13150,0,0
"Late Deployer",5,3740,3686,2,3,16409,0,0
Boost-Focused,5,6622,6771,4,1,23894,0,1
Star-Focused,5,5108,5160,4,1,18463,1,1
"Aggressive Sigil User",5,5996,5847,3,2,23710,0,0
"Mostly Idle",5,2452,2047,5,0,7967,0,0
