archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2799,2748,10,0,18191,0,1
Regular,10,4049,4137,7,3,31153,0,2
Hardcore,10,6514,6533,0,10,65808,1,0
Hoarder,10,3783,3659,9,1,26297,0,1
"Early Locker",10,3676,3000,10,0,23889,0,0
"Late Deployer",10,3943,3858,4,6,33790,0,1
Boost-Focused,10,5751,6096,6,4,46247,0,2
Star-Focused,10,4565,4642,9,1,31351,0,0
"Aggressive Sigil User",10,5546,5520,2,8,52295,1,1
"Mostly Idle",10,2059,1766,10,0,13380,0,0
