archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6355,6559,5,0,20653,0,0
Regular,5,9142,6669,5,0,29711,0,0
Hardcore,5,12576,11297,1,4,56688,0,0
Hoarder,5,12892,13512,5,0,41897,0,0
"Early Locker",5,7665,7054,5,0,24911,0,0
"Late Deployer",5,8674,9255,5,0,28189,0,0
Boost-Focused,5,10584,10977,1,4,49137,0,1
Star-Focused,5,12782,12071,5,0,41542,0,0
"Aggressive Sigil User",5,14913,16555,5,0,48466,0,0
"Mostly Idle",5,6843,5318,5,0,22237,0,0
