archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,5063,4996,20,0,65811,0,0
Regular,20,7647,6811,17,3,106611,0,1
Hardcore,20,11086,9735,5,15,195427,1,0
Hoarder,20,10698,10178,20,0,139073,3,1
"Early Locker",20,7307,6200,20,0,94996,0,0
"Late Deployer",20,9691,10866,15,5,135889,3,1
Boost-Focused,20,10270,9711,4,16,187895,0,1
Star-Focused,20,12219,11977,20,0,158846,5,0
"Aggressive Sigil User",20,12053,11518,18,2,162176,3,0
"Mostly Idle",20,5430,4615,20,0,70584,0,0
