archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,5008,4740,10,0,32550,1,0
Regular,10,8548,7418,8,2,60171,1,0
Hardcore,10,10095,10068,0,10,101514,1,0
Hoarder,10,10155,8839,10,0,66008,1,0
"Early Locker",10,5909,5436,10,0,38408,0,0
"Late Deployer",10,8373,6647,6,4,62437,0,0
Boost-Focused,10,9847,9671,0,10,99031,0,0
Star-Focused,10,11958,12160,10,0,77725,3,0
"Aggressive Sigil User",10,13156,11494,9,1,88320,0,0
"Mostly Idle",10,6552,4332,10,0,42588,0,0
