archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,5824,5410,20,0,75709,1,0
Regular,20,7134,6131,19,1,94938,0,0
Hardcore,20,11923,10041,8,12,196804,0,1
Hoarder,20,8856,7433,20,0,115127,5,0
"Early Locker",20,7206,5569,20,0,93670,0,0
"Late Deployer",20,9035,9958,14,6,129229,2,0
Boost-Focused,20,9819,9505,4,16,180887,0,2
Star-Focused,20,13063,12294,20,0,169823,4,0
"Aggressive Sigil User",20,11580,11053,17,3,159050,3,0
"Mostly Idle",20,6517,5854,20,0,84719,0,0
