archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,6325,5853,10,0,41107,0,0
Regular,10,6756,6878,10,0,43908,0,1
Hardcore,10,10458,10164,1,9,99857,0,0
Hoarder,10,6451,5893,10,0,41927,2,1
"Early Locker",10,5718,5402,10,0,37167,0,0
"Late Deployer",10,10318,10558,8,2,70508,0,1
Boost-Focused,10,9455,9362,2,8,87525,0,2
Star-Focused,10,11917,10519,10,0,77460,2,0
"Aggressive Sigil User",10,9337,8749,5,5,75325,1,0
"Mostly Idle",10,5871,3568,10,0,38156,0,0
