archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,5414,4267,10,0,35190,0,0
Regular,10,9991,7435,9,1,67302,1,0
Hardcore,10,10865,10711,1,9,105096,1,0
Hoarder,10,11652,13098,10,0,75733,1,0
"Early Locker",10,5323,4395,10,0,34600,0,0
"Late Deployer",10,8078,6864,6,4,61200,0,0
Boost-Focused,10,10212,9657,4,6,87080,1,3
Star-Focused,10,11103,11003,10,0,72169,3,0
"Aggressive Sigil User",10,11421,9905,8,2,81046,0,0
"Mostly Idle",10,3630,3302,10,0,23595,0,0
