archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6108,4619,5,0,19852,0,0
Regular,5,8320,8171,4,1,29389,0,0
Hardcore,5,10190,10161,0,5,51231,1,0
Hoarder,5,8300,7353,5,0,26974,0,1
"Early Locker",5,5534,5914,5,0,17986,0,0
"Late Deployer",5,7270,5046,3,2,27126,0,1
Boost-Focused,5,10542,10735,1,4,48969,0,1
Star-Focused,5,10201,7428,5,0,33152,1,0
"Aggressive Sigil User",5,10522,9905,5,0,34195,0,0
"Mostly Idle",5,4475,4266,5,0,14542,0,0
