archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,6928,6165,20,0,90061,0,0
Regular,20,7553,6914,19,1,100426,2,0
Hardcore,20,10301,9789,3,17,194046,0,0
Hoarder,20,10634,8984,20,0,138244,4,0
"Early Locker",20,6669,6444,20,0,86693,0,0
"Late Deployer",20,9185,6319,10,10,139311,3,0
Boost-Focused,20,9979,9351,2,18,190436,1,0
Star-Focused,20,14677,15662,20,0,190795,3,0
"Aggressive Sigil User",20,11653,10371,18,2,157508,5,0
"Mostly Idle",20,6726,4800,20,0,87439,0,0
