archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,8881,7151,10,0,57723,0,0
Regular,10,8611,8314,10,0,55968,0,0
Hardcore,10,12335,10505,4,6,102437,0,0
Hoarder,10,8225,6295,10,0,53463,3,0
"Early Locker",10,5971,5433,10,0,38811,0,0
"Late Deployer",10,8390,6546,5,5,65774,0,0
Boost-Focused,10,10416,10194,1,9,100908,0,1
Star-Focused,10,11830,10051,10,0,76895,2,0
"Aggressive Sigil User",10,10399,9219,7,3,76791,1,0
"Mostly Idle",10,5073,4134,10,0,32969,0,0
