archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,5533,4490,10,0,35959,0,0
Regular,10,6838,6051,10,0,44447,1,1
Hardcore,10,10489,9703,2,8,95499,0,1
Hoarder,10,7673,6507,10,0,49872,3,1
"Early Locker",10,6854,4784,10,0,44550,0,0
"Late Deployer",10,7168,5439,5,5,55793,0,0
Boost-Focused,10,9757,9699,0,10,98135,0,0
Star-Focused,10,11086,10855,10,0,72061,0,0
"Aggressive Sigil User",10,11748,10670,10,0,76361,0,1
"Mostly Idle",10,5202,3670,10,0,33812,0,0
