archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,5859,5088,20,0,76160,0,0
Regular,20,8937,7354,20,0,116176,1,0
Hardcore,20,9779,9376,3,17,182823,2,0
Hoarder,20,10731,9991,19,1,141221,7,0
"Early Locker",20,7850,6821,20,0,102050,0,0
"Late Deployer",20,8260,7492,12,8,122340,3,0
Boost-Focused,20,9347,8960,3,17,176665,0,2
Star-Focused,20,12493,12456,20,0,162406,3,0
"Aggressive Sigil User",20,11700,11412,18,2,157316,3,0
"Mostly Idle",20,6072,5585,20,0,78930,0,0
