archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Regular,2,166379,160822,2,0,216293,35,0
Hardcore,2,169568,168235,0,2,339349,5,0
Hoarder,2,82867,70689,0,2,165847,218,0
"Mostly Idle",2,122573,121951,2,0,159344,12,0
