archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,12402,13747,5,0,40307,44,0
Regular,5,9237,6941,5,0,30019,53,0
Hardcore,5,6011,5332,5,0,19534,21,0
Hoarder,5,13907,12458,5,0,45198,66,0
"Early Locker",5,8412,7165,5,0,27337,59,0
"Late Deployer",5,9144,12057,5,0,29719,43,0
Boost-Focused,5,7971,10277,5,0,25903,10,0
Star-Focused,5,4732,6530,5,0,15377,63,0
"Aggressive Sigil User",5,5291,5039,5,0,17197,22,0
"Mostly Idle",5,9230,6387,5,0,29996,38,0
