archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,9460,8397,12,0,73787,106,0
Regular,12,8570,7286,12,0,66843,132,0
Hardcore,12,6277,4178,12,0,48956,65,0
Hoarder,12,9005,5901,12,0,70235,160,0
"Early Locker",12,11055,11338,12,0,86226,132,0
"Late Deployer",12,9623,9719,12,0,75058,107,0
Boost-Focused,12,4712,1930,12,0,36750,15,0
Star-Focused,12,11018,12321,12,0,85940,153,0
"Aggressive Sigil User",12,5506,5836,12,0,42941,76,0
"Mostly Idle",12,8708,7769,12,0,67922,95,0
