archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,4389,4389,1,0,2852,0,0
Regular,1,2370,2370,1,0,1540,1,0
Hardcore,1,15369,15369,1,0,9989,1,1
Hoarder,1,9886,9886,1,0,6425,0,0
"Early Locker",1,7725,7725,1,0,5021,0,0
"Late Deployer",1,6696,6696,1,0,4352,0,0
Boost-Focused,1,8207,8207,1,0,5334,1,0
Star-Focused,1,6637,6637,1,0,4314,3,0
"Aggressive Sigil User",1,14695,14695,1,0,9551,0,0
"Mostly Idle",1,3714,3714,1,0,2414,0,0
