archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,9944,11084,12,0,77561,104,0
Regular,12,9150,10137,12,0,71367,129,0
Hardcore,12,5271,2574,12,0,41109,62,0
Hoarder,12,11770,11200,12,0,91802,162,0
"Early Locker",12,12172,13974,12,0,94943,136,0
"Late Deployer",12,12434,11375,12,0,96983,116,0
Boost-Focused,12,4862,2377,12,0,37922,14,0
Star-Focused,12,11725,12587,12,0,91454,153,0
"Aggressive Sigil User",12,5578,3888,12,0,43505,71,0
"Mostly Idle",12,10647,11635,12,0,83048,89,0
