archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,10974,11579,12,0,85599,101,0
Regular,12,7107,6068,12,0,55431,135,0
Hardcore,12,5114,2878,12,0,39883,68,0
Hoarder,12,12834,14145,12,0,100106,153,0
"Early Locker",12,7446,5176,12,0,58076,141,0
"Late Deployer",12,6559,5409,12,0,51158,109,0
Boost-Focused,12,4852,1780,12,0,37843,16,0
Star-Focused,12,9882,8478,12,0,77080,153,0
"Aggressive Sigil User",12,6400,5884,12,0,49921,68,0
"Mostly Idle",12,12014,11528,12,0,93711,87,0
