archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6770,5645,5,0,22002,45,0
Regular,5,8756,9397,5,0,28457,53,0
Hardcore,5,1297,996,5,0,4214,21,0
Hoarder,5,6415,6506,5,0,20846,68,0
"Early Locker",5,10226,15220,5,0,33235,56,0
"Late Deployer",5,10076,7173,5,0,32747,48,0
Boost-Focused,5,9978,12232,5,0,32429,5,0
Star-Focused,5,8071,8195,5,0,26232,64,0
"Aggressive Sigil User",5,4498,3640,5,0,14617,27,0
"Mostly Idle",5,5948,2686,5,0,19329,37,0
