archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,8471,6165,12,0,66075,101,0
Regular,12,6752,3710,12,0,52665,139,0
Hardcore,12,3866,2131,12,0,30152,59,0
Hoarder,12,10996,11550,12,0,85764,156,0
"Early Locker",12,7080,4337,12,0,55225,137,0
"Late Deployer",12,10183,10257,12,0,79429,108,0
Boost-Focused,12,6738,6474,12,0,52559,14,0
Star-Focused,12,7572,4240,12,0,59059,154,0
"Aggressive Sigil User",12,6448,6324,12,0,50295,76,0
"Mostly Idle",12,8289,7124,12,0,64655,91,0
