archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,5638,4002,12,0,43976,4,0
Regular,12,7586,6947,12,0,59166,10,0
Hardcore,12,6652,3860,5,7,61714,11,0
Hoarder,12,7281,5044,12,0,56791,87,1
"Early Locker",12,8596,7605,12,0,67045,9,0
"Late Deployer",12,6528,5267,8,4,55563,43,0
Boost-Focused,12,5259,3760,6,6,49272,14,4
Star-Focused,12,10852,9460,12,0,84647,105,0
"Aggressive Sigil User",12,8844,6140,12,0,68984,48,0
"Mostly Idle",12,8157,8397,12,0,63625,36,0
