archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,9275,8416,5,0,30142,39,0
Regular,5,7741,7602,5,0,25158,55,0
Hardcore,5,7021,5900,5,0,22817,18,0
Hoarder,5,11893,9004,5,0,38651,66,0
"Early Locker",5,8966,7904,5,0,29138,56,0
"Late Deployer",5,7362,10958,5,0,23927,47,0
Boost-Focused,5,5865,2681,5,0,19061,8,0
Star-Focused,5,8338,9329,5,0,27098,63,0
"Aggressive Sigil User",5,5808,4283,5,0,18875,22,0
"Mostly Idle",5,8899,7429,5,0,28921,36,0
