archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,7188,7188,1,0,4672,9,0
Regular,1,9463,9463,1,0,6150,12,0
Hardcore,1,2074,2074,1,0,1348,6,0
Hoarder,1,12357,12357,1,0,8032,12,0
"Early Locker",1,8459,8459,1,0,5498,10,0
"Late Deployer",1,4495,4495,1,0,2921,9,0
Boost-Focused,1,515,515,1,0,334,1,0
Star-Focused,1,16149,16149,1,0,10496,14,0
"Aggressive Sigil User",1,6080,6080,1,0,3952,4,0
"Mostly Idle",1,15113,15113,1,0,9823,7,0
