archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,5584,4711,12,0,43553,4,1
Regular,12,5988,4701,12,0,46704,17,0
Hardcore,12,3439,3608,2,10,40024,18,0
Hoarder,12,8843,5998,12,0,68976,97,0
"Early Locker",12,7718,5668,12,0,60201,2,0
"Late Deployer",12,5956,4138,7,5,52004,43,0
Boost-Focused,12,4087,3517,2,10,44799,14,1
Star-Focused,12,10634,9928,12,0,82946,101,0
"Aggressive Sigil User",12,8837,6473,11,1,70169,52,1
"Mostly Idle",12,13826,14839,12,0,107842,26,0
