archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,7145,4949,5,0,23221,43,0
Regular,5,7210,7157,5,0,23432,56,0
Hardcore,5,3889,3741,5,0,12638,24,0
Hoarder,5,14516,15268,5,0,47175,68,0
"Early Locker",5,11805,13288,5,0,38366,55,0
"Late Deployer",5,7269,5475,5,0,23621,45,0
Boost-Focused,5,7784,11212,5,0,25297,8,0
Star-Focused,5,10690,13961,5,0,34742,62,0
"Aggressive Sigil User",5,5406,4500,5,0,17567,21,0
"Mostly Idle",5,6914,7181,5,0,22469,37,0
