archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,15184,14924,5,0,49346,40,0
Regular,5,11255,14081,5,0,36579,57,0
Hardcore,5,2329,1801,5,0,7569,22,0
Hoarder,5,9137,8255,5,0,29693,67,0
"Early Locker",5,11376,10395,5,0,36969,52,0
"Late Deployer",5,9433,12718,5,0,30655,48,0
Boost-Focused,5,3032,1588,5,0,9855,8,0
Star-Focused,5,10928,11364,5,0,35516,67,0
"Aggressive Sigil User",5,6229,4628,5,0,20245,23,0
"Mostly Idle",5,7861,6435,5,0,25548,38,0
