archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,7591,7591,1,0,4934,0,0
Regular,1,6120,6120,1,0,3978,0,0
Hardcore,1,5732,5732,0,1,5788,1,0
Hoarder,1,6694,6694,1,0,4351,1,0
"Early Locker",1,2434,2434,1,0,1582,0,0
"Late Deployer",1,16121,16121,1,0,10478,0,0
Boost-Focused,1,5328,5328,0,1,5384,0,0
Star-Focused,1,6001,6001,1,0,3900,0,0
"Aggressive Sigil User",1,14403,14403,1,0,9361,0,0
"Mostly Idle",1,5922,5922,1,0,3849,0,0
