archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,13323,13736,12,0,103918,99,0
Regular,12,10236,9927,12,0,79840,132,0
Hardcore,12,4889,3682,12,0,38135,67,0
Hoarder,12,10513,11493,12,0,82003,155,0
"Early Locker",12,10388,9328,12,0,81026,130,0
"Late Deployer",12,8905,7314,12,0,69455,113,0
Boost-Focused,12,6576,2311,12,0,51287,24,0
Star-Focused,12,7409,5422,12,0,57792,157,0
"Aggressive Sigil User",12,6887,5513,12,0,53719,65,0
"Mostly Idle",12,11798,11785,12,0,92022,95,0
