archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,10047,10501,12,0,78363,101,0
Regular,12,10699,10808,12,0,83446,125,0
Hardcore,12,3610,2429,12,0,28156,65,0
Hoarder,12,11495,11551,12,0,89661,158,0
"Early Locker",12,8956,8067,12,0,69852,144,0
"Late Deployer",12,8279,9204,12,0,64573,110,0
Boost-Focused,12,6840,9530,12,0,53348,17,0
Star-Focused,12,10455,9707,12,0,81549,153,0
"Aggressive Sigil User",12,6976,6979,12,0,54410,66,0
"Mostly Idle",12,8652,6328,12,0,67481,91,0
