archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,5870,3937,5,0,19076,1,0
Regular,5,6654,4153,5,0,21623,3,1
Hardcore,5,5578,4974,3,2,21713,3,0
Hoarder,5,7564,6772,5,0,24581,21,0
"Early Locker",5,6576,6833,5,0,21371,1,0
"Late Deployer",5,7016,4074,2,3,27244,19,0
Boost-Focused,5,4819,4791,1,4,22660,3,1
Star-Focused,5,11672,10846,5,0,37932,28,0
"Aggressive Sigil User",5,6577,5842,5,0,21374,4,0
"Mostly Idle",5,8305,8011,5,0,26990,6,0
