archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,12,5757,4464,12,0,44904,7,0
Regular,12,8515,7059,12,0,66413,13,1
Hardcore,12,5714,3828,6,6,52927,6,0
Hoarder,12,7886,7942,12,0,61512,74,0
"Early Locker",12,7926,6554,12,0,61825,8,0
"Late Deployer",12,6225,3156,7,5,54301,40,0
Boost-Focused,12,4784,3657,2,10,50842,4,0
Star-Focused,12,12173,10950,12,0,94946,104,0
"Aggressive Sigil User",12,6209,5190,10,2,51013,49,1
"Mostly Idle",12,10518,10470,12,0,82038,40,0
