archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,4615,4615,1,0,2999,1,0
Regular,1,2572,2572,1,0,1671,0,0
Hardcore,1,6394,6394,0,1,6450,0,0
Hoarder,1,11571,11571,1,0,7521,0,0
"Early Locker",1,2174,2174,1,0,1413,0,0
"Late Deployer",1,6848,6848,1,0,4451,0,0
Boost-Focused,1,6036,6036,1,0,3923,1,1
Star-Focused,1,20231,20231,1,0,13150,1,0
"Aggressive Sigil User",1,5863,5863,0,1,5919,0,0
"Mostly Idle",1,3147,3147,1,0,2045,0,0
