archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,3972,3972,1,0,2581,0,0
Regular,1,11304,11304,1,0,7347,1,0
Hardcore,1,5738,5738,0,1,5834,0,0
Hoarder,1,13719,13719,1,0,8917,1,0
"Early Locker",1,5038,5038,1,0,3274,0,0
"Late Deployer",1,4361,4361,0,1,4417,0,0
Boost-Focused,1,5418,5418,0,1,5474,0,0
Star-Focused,1,4969,4969,1,0,3229,1,0
"Aggressive Sigil User",1,5175,5175,0,1,5231,0,0
"Mostly Idle",1,5118,5118,1,0,3326,0,0
