archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,1341,1341,1,0,871,10,0
Regular,1,19816,19816,1,0,12880,9,0
Hardcore,1,746,746,1,0,484,5,0
Hoarder,1,13240,13240,1,0,8606,14,0
"Early Locker",1,14852,14852,1,0,9653,10,0
"Late Deployer",1,10979,10979,1,0,7136,9,0
Boost-Focused,1,9414,9414,1,0,6119,1,0
Star-Focused,1,18263,18263,1,0,11870,13,0
"Aggressive Sigil User",1,1719,1719,1,0,1117,3,0
"Mostly Idle",1,12950,12950,1,0,8417,6,0
