archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,7092,4940,5,0,23048,44,0
Regular,5,14424,15042,5,0,46879,51,0
Hardcore,5,2740,2439,5,0,8903,25,0
Hoarder,5,11275,15252,5,0,36641,66,0
"Early Locker",5,10619,10830,5,0,34512,61,0
"Late Deployer",5,9958,10165,5,0,32363,48,0
Boost-Focused,5,3345,1342,5,0,10871,7,0
Star-Focused,5,10034,7434,5,0,32612,64,0
"Aggressive Sigil User",5,4932,3703,5,0,16027,20,0
"Mostly Idle",5,7089,4523,5,0,23039,40,0
