archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,1,4583,4583,1,0,2978,9,0
Regular,1,15810,15810,1,0,10276,10,0
Hardcore,1,1963,1963,1,0,1275,4,0
Hoarder,1,16520,16520,1,0,10738,12,0
"Early Locker",1,13052,13052,1,0,8483,10,0
"Late Deployer",1,9196,9196,1,0,5977,8,0
Boost-Focused,1,11459,11459,1,0,7448,2,0
Star-Focused,1,8891,8891,1,0,5779,13,0
"Aggressive Sigil User",1,8125,8125,1,0,5281,4,0
"Mostly Idle",1,8400,8400,1,0,5460,7,0
