archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6824,7450,5,0,22177,3,0
Regular,5,4315,3825,4,1,15404,3,0
Hardcore,5,5788,4471,1,4,25291,6,0
Hoarder,5,4226,4409,5,0,13732,22,0
"Early Locker",5,7578,3902,5,0,24628,1,0
"Late Deployer",5,5326,4154,3,2,19966,11,0
Boost-Focused,5,4314,4308,0,5,21853,5,0
Star-Focused,5,10328,11408,5,0,33565,31,0
"Aggressive Sigil User",5,5886,4789,5,0,19127,4,0
"Mostly Idle",5,10738,10669,5,0,34896,7,0
