archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,6089,5584,5,0,19789,2,0
Regular,5,6257,5459,5,0,20335,7,0
Hardcore,5,4976,4885,1,4,23232,4,0
Hoarder,5,9513,7910,5,0,30918,23,0
"Early Locker",5,7648,8356,5,0,24855,1,0
"Late Deployer",5,11779,12248,5,0,38281,10,1
Boost-Focused,5,6219,4819,2,3,25403,1,0
Star-Focused,5,6941,6142,5,0,22558,27,0
"Aggressive Sigil User",5,4709,4553,2,3,20249,6,0
"Mostly Idle",5,8890,9585,5,0,28890,5,0
