archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Regular,1,1729,1729,1,0,1123,0,0
Hoarder,1,16277,16277,1,0,10580,3,0
"Mostly Idle",1,1797,1797,1,0,1168,0,0
