archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2541,2455,19,1,33951,0,2
Regular,20,3785,3870,14,6,57713,2,6
Hardcore,20,6259,5898,5,15,113053,0,0
Hoarder,20,4023,3325,19,1,53643,0,2
"Early Locker",20,3556,3558,20,0,46223,0,0
"Late Deployer",20,3359,3222,8,12,57876,1,0
Boost-Focused,20,5540,5568,6,14,100125,0,1
Star-Focused,20,4161,4129,18,2,56970,0,0
"Aggressive Sigil User",20,4979,4951,8,12,86238,0,2
"Mostly Idle",20,2395,2013,20,0,31138,0,0
