archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,10,2573,2753,8,2,18713,0,0
Regular,10,3764,3692,7,3,29210,0,1
Hardcore,10,6532,6549,0,10,65988,0,0
Hoarder,10,3788,3979,7,3,29426,0,1
"Early Locker",10,4157,4296,10,0,27018,0,1
"Late Deployer",10,3545,3445,5,5,29456,0,0
Boost-Focused,10,6185,6267,2,8,58084,0,0
Star-Focused,10,4509,4618,9,1,30981,0,1
"Aggressive Sigil User",10,5507,5509,5,5,45663,0,2
"Mostly Idle",10,2468,2105,10,0,16041,0,0
