archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,5,2826,3030,4,1,10134,1,1
Regular,5,4949,4865,4,1,17755,0,2
Hardcore,5,7032,7038,0,5,35644,0,0
Hoarder,5,3847,4082,3,2,16040,0,0
"Early Locker",5,4169,4004,5,0,13547,0,0
"Late Deployer",5,3778,3858,1,4,18018,1,0
Boost-Focused,5,6813,6909,2,3,29494,0,0
Star-Focused,5,4878,4857,5,0,15852,0,1
"Aggressive Sigil User",5,6051,6142,1,4,28517,0,0
"Mostly Idle",5,2074,2181,5,0,6739,0,0
