archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2510,2541,19,1,33647,0,1
Regular,20,3601,3840,15,5,54395,1,2
Hardcore,20,6077,6219,2,18,119230,0,0
Hoarder,20,3236,3305,19,1,43529,0,0
"Early Locker",20,3475,3326,20,0,45170,0,0
"Late Deployer",20,3332,3401,6,14,61043,0,0
Boost-Focused,20,5897,5930,5,15,108755,2,1
Star-Focused,20,4174,4247,19,1,55644,0,0
"Aggressive Sigil User",20,5062,5227,11,9,83165,0,1
"Mostly Idle",20,2515,2550,20,0,32691,0,0
