archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2621,2649,19,1,35012,0,0
Regular,20,3733,3984,17,3,53086,1,6
Hardcore,20,6228,6287,3,17,119369,0,0
Hoarder,20,3689,3963,18,2,51190,1,0
"Early Locker",20,3251,3197,20,0,42263,0,0
"Late Deployer",20,3580,3545,4,16,67247,1,0
Boost-Focused,20,5765,5906,5,15,107142,0,0
Star-Focused,20,4342,4384,18,2,59655,0,1
"Aggressive Sigil User",20,5279,5339,7,13,93720,0,2
"Mostly Idle",20,2553,2370,20,0,33188,0,0
