archetype,players,avg_final_score,median_final_score,lock_in_count,natural_expiry_count,global_stars_gained,t6_total_acquired,blackout_conversions
Casual,20,2513,2482,20,0,32665,1,0
Regular,20,3654,4017,13,7,58108,0,3
Hardcore,20,5924,5982,3,17,113718,2,0
Hoarder,20,3445,3459,16,4,50405,1,1
"Early Locker",20,3518,3458,20,0,45727,0,0
"Late Deployer",20,3246,3274,9,11,55549,1,0
Boost-Focused,20,5939,5711,11,9,95707,0,3
Star-Focused,20,4172,4193,20,0,54233,0,1
"Aggressive Sigil User",20,4863,4998,8,12,85152,1,0
"Mostly Idle",20,2603,2638,20,0,33839,0,0
